Title,Views,Time of Posting,Youtube URL
"Boyce Avenue Acoustic Cover 90s & 00s Pop Rock Hit Songs Vol. 2 (Slide, Fix You, The Reason, Yellow)",774K views,13 days ago,https://www.youtube.com/watch?v=8J1HLEF2MgU
Stuck On You - Lionel Richie (Boyce Avenue acoustic cover) on Spotify & Apple,769K views,3 weeks ago,https://www.youtube.com/watch?v=r7YXEMJPWLk
April Come She Will - Simon & Garfunkel (Boyce Avenue acoustic cover) on Spotify & Apple,178K views,1 month ago,https://www.youtube.com/watch?v=LG9ahv9unmw
Walking Away - Craig David (Boyce Avenue acoustic cover) on Spotify & Apple,250K views,1 month ago,https://www.youtube.com/watch?v=GlGCdUJTjVI
Talking To The Moon - Bruno Mars (Boyce Avenue acoustic piano cover) on Spotify & Apple,442K views,2 months ago,https://www.youtube.com/watch?v=oc055eWbVl0
