Title,Views,Time of Posting,Youtube URL
JEE NI LAGDA WORKSHOP | KARAN AUJLA | BHANGRA EMPIRE,19K views,2 weeks ago,https://www.youtube.com/watch?v=CbYhTtjsQ_o
9:45 BHANGRA WORKSHOP | PRABH | BHANGRA EMPIRE,26K views,3 weeks ago,https://www.youtube.com/watch?v=kI7Hw7Nse1o
MODERN MIRZA BHANGRA WORKSHOP | RAF SAPERRA | BHANGRA EMPIRE,15K views,1 month ago,https://www.youtube.com/watch?v=1zl2do33mDM
Bhangra Empire - Jashan and Anureet's Wedding Dance,17K views,1 month ago,https://www.youtube.com/watch?v=SAO3zp6K7Ic
TAKE IT EASY BHANGRA WORKSHOP | KARAN AUJLA | BHANGRA EMPIRE,24K views,1 month ago,https://www.youtube.com/watch?v=GmpUoHIxDIc
